user_id,business_id,stars
V34qejxNsCbcgD8C0HVk-Q,HQl28KMwrEKHqhFrrDqVNQ,5.0
ofKDkJKXSKZXu5xJNGiiBQ,5JxlZaqCnk1MnbgRirs40Q,1.0
UgMW8bLE0QMJDCkQ1Ax5Mg,IS4cv902ykd8wj1TR0N3-A,4.0
5vD2kmE25YBrbayKhykNxQ,FHCNPBORRJ6gvNf3xBtnBA,5.0
aq_ZxGHiri48TUXJlpRkCQ,Pthe4qk5xh4n-ef-9bvMSg,5.0
P6apihD4ASf1vpPxHODxAQ,e_BiI4ej1CW1F0EyVLr-FQ,5.0
jOERvhmK6_lo_XGUBPws_w,Ws8V970-mQt2X9CwCuT5zw,4.0
HJECayULRM-6xh2GCCvLiA,l-nL4BmhzpZjcavooO48PQ,4.0
qftVgPj_kRTildMDjwiqtg,Ns4tjgLfqR1qawGlNFROBA,5.0
2hRe26HSCAWbFRn5WChK-Q,d4qwVw4PcN-_2mK2o1Ro1g,1.0
6sJN_HlM_uwpfLJ1puf1Fg,oVuZtlCFg_zF090Nhtp0Ow,4.0
QodunSzok4nIYFNrTSGesQ,poSV39UqEg-gpESXafS9-g,3.0
qkJtn0Rtz_lKlTs5azBkng,tOhRQqiupLyJdBJVQMGOEQ,5.0
RR-2nouBn408e3djxC470g,d4qwVw4PcN-_2mK2o1Ro1g,5.0
A0j21z2Q1HGic7jW6e9h7A,9Jo1pu0y2zU6ktiwQm6gNA,4.0
-Co-ReNx_lXT1xL_Rr0B2g,XZbuPXdyA0ZtTu3AzqtQhg,4.0
TZQSUDDcA4ek5gBd6BzcjA,qUWqjjjfpB2-4P3He5rsKw,4.0
UreiTV1I9i-XF6_bJhK6Iw,d_q4avZYM1sOlQP7noJKVg,4.0
mbdtyUUzZZx5ld1Qc4iGtQ,wkzWdo1mBqbzR2KPoXtWZw,4.0
FCoXqPxuI7GRBYyzJIwVxw,r4HkiC71nB9k8Fe8zIORFQ,5.0
XivuRnPq3D-K5cPiBTztIA,72S_eNMpbbSL2kRgzy-iXQ,1.0
K5MSNpwRf0xKQSaC6gK9Cw,PL3cimEUfNHlenOGSOAdJg,4.0
bVwp0gnz3YxpJqSfXZrONg,PrFfdw7WuGAnrkyAIzX65g,5.0
H3wPBzQCKCKiHcV7GZK4kg,LkMtMHVetws5_7QfRjPtlg,2.0
nVK00oKUk4asStkaOR09uw,TNaqJk3Oa__aCLAGHpz7_Q,1.0
EZ6g9a17UdMjtR-wrZebmA,wSAGILK2CFbq5BVZ5D67-A,3.0
6UR0kNe3C-ivlF2x1fPHNQ,K4rLi2Mqz931v07nMSih5w,5.0
hHFSpKcnDtJOs6M-JKFZ8Q,oCvxJBOs-Mbg-4oanPO7lQ,4.0
NFebN50n-oXI7xgjP-Qixw,k1c_bC3DK6mKg797vH1T8w,5.0
bgG0jJyUXta_kczGrQW2Rw,7EZ4Eu7YJ1ltRCC5jXFJrQ,1.0
FmQxARdHGnkclvcVWGEAxw,VnOGWODJ7ZREYij0rpB-Xw,3.0
Arf9ddxVvO3PsmdZlPBDyA,YJ2Y_asLIlbo-uijVugLow,5.0
iFEM16O5BeKvf_AHs6NzUQ,iBhTjNsOzKZuSEWgTT013w,3.0
4xIRICDNx33zPG-CYshTXQ,1aVbXH_4uQCTQU7HfGmyow,5.0
7MXunAzrmnbBd0XQR33zaA,nJcyfIRGbI31EGLzillWYg,1.0
jqEbD-d5iI5nrwhfMmX_5w,8OeHn9KCbICuRBs_XiDDUA,4.0
Ir__fU1m6dBqgTrP3aLP9A,KalAJyO0Zpg3K1wVwYXBHA,5.0
YX1apap1DCOmOer3C9X2qw,77KuSFMOXqRGqcV9NJjzDA,3.0
Pvk862aBKxgn4i-yajH5ng,FooKqQJ3UnsIG2slFPuLRA,1.0
rHC67vLw-_pwoGjmEn-iQA,u8CFMZ9rCMDvKGDyqt6MEQ,5.0
ica-FXNzyDzoOeArmg9Lwg,bM3ARXFMxGrntnHS6a7vEQ,5.0
AdMCAKmNDIaubYPxnjTq1g,nIIuxIn5RU0j-XkDWh3hlA,1.0
fVILhIglx6RNOXQba5t4kQ,swX3Vj3dQsz1YlCRmwNQEQ,4.0
HLaSqQMDVvlcFPGJL_kGCA,VMPSdoBgJuyS9t_x_caTig,5.0
